TODO,LOC,TODO/LOC,FILE
1,78,1.28%,Meta/Lagom/BuildFuzzers.sh
1,421,0.24%,Meta/Websites/serenityos.org/happy/2nd/index.html
2,52,3.85%,Meta/debug-kernel.sh
1,507,0.20%,Meta/serenity.sh
1,181,0.55%,Meta/build-root-filesystem.sh
2,456,0.44%,Meta/run.sh
1,59,1.69%,Meta/analyze-qemu-coverage.sh
1,103,0.97%,Meta/build-manpages-website.sh
1,51,1.96%,Base/root/generate_manpages.sh
1,1230,0.08%,Base/res/js/Spreadsheet/runtime.js
1,73,1.37%,Base/res/html/misc/pseudo-elements.html
1,480,0.21%,Base/res/html/misc/display-grid.html
3,20,15.00%,Base/res/html/misc/vertical-align.html
1,57,1.75%,Base/res/html/misc/private-element-test.html
1,205,0.49%,Userland/Demos/Cube/Cube.cpp
1,85,1.18%,Userland/Demos/CatDog/main.cpp
1,93,1.08%,Userland/Demos/Screensaver/Screensaver.cpp
5,59,8.47%,Userland/Demos/ModelGallery/GalleryWidget.cpp
6,96,6.25%,Userland/Demos/LibGfxScaleDemo/main.cpp
14,263,5.32%,Userland/Demos/WidgetGallery/GalleryWidget.cpp
5,168,2.98%,Userland/Demos/WidgetGallery/GalleryModels.h
5,60,8.33%,Userland/Demos/WidgetGallery/DemoWizardDialog.cpp
2,403,0.50%,Userland/Demos/Mandelbrot/Mandelbrot.cpp
2,186,1.08%,Userland/Demos/Fire/Fire.cpp
3,169,1.78%,Userland/Demos/LibGfxDemo/main.cpp
3,279,1.08%,Userland/Utilities/markdown-check.cpp
1,95,1.05%,Userland/Utilities/uniq.cpp
8,655,1.22%,Userland/Utilities/headless-browser.cpp
1,68,1.47%,Userland/Utilities/bt.cpp
1,99,1.01%,Userland/Utilities/profile.cpp
1,128,0.78%,Userland/Utilities/unzip.cpp
5,630,0.79%,Userland/Utilities/readelf.cpp
5,330,1.52%,Userland/Utilities/pro.cpp
2,482,0.41%,Userland/Utilities/less.cpp
1,172,0.58%,Userland/Utilities/lspci.cpp
1,74,1.35%,Userland/Utilities/gzip.cpp
1,62,1.61%,Userland/Utilities/date.cpp
1,103,0.97%,Userland/Utilities/aplay.cpp
1,107,0.93%,Userland/Utilities/pmemdump.cpp
4,148,2.70%,Userland/Utilities/functrace.cpp
1,130,0.77%,Userland/Utilities/disasm.cpp
1,109,0.92%,Userland/Utilities/tail.cpp
1,95,1.05%,Userland/Utilities/mktemp.cpp
1,27,3.70%,Userland/Utilities/fdtdump.cpp
1,118,0.85%,Userland/Utilities/test-bindtodevice.cpp
11,827,1.33%,Userland/Utilities/strace.cpp
1,759,0.13%,Userland/Utilities/js.cpp
1,52,1.92%,Userland/Utilities/mknod.cpp
1,130,0.77%,Userland/Utilities/test-imap.cpp
3,122,2.46%,Userland/Utilities/cal.cpp
2,250,0.80%,Userland/Utilities/ntpquery.cpp
1,78,1.28%,Userland/Utilities/passwd.cpp
1,159,0.63%,Userland/Utilities/file.cpp
3,347,0.86%,Userland/Utilities/run-tests.cpp
1,226,0.44%,Userland/Utilities/tar.cpp
1,90,1.11%,Userland/Utilities/man.cpp
1,556,0.18%,Userland/Utilities/stty.cpp
2,49,4.08%,Userland/Libraries/LibSoftGPU/Buffer/FrameBuffer.h
3,165,1.82%,Userland/Libraries/LibSoftGPU/Image.cpp
1,12,8.33%,Userland/Libraries/LibSoftGPU/ShaderCompiler.cpp
1,29,3.45%,Userland/Libraries/LibSoftGPU/Config.h
